type,strike,expiration,days_to_expiry,maturity_years,impliedVolatility,mid,volume,openInterest
put,6125.0,2026-03-23,20,0.0547945205479452,0.31732097480773924,17.3,24.0,55
put,6150.0,2026-03-23,20,0.0547945205479452,0.313033297958374,18.5,16.0,278
put,6175.0,2026-03-23,20,0.0547945205479452,0.30799794792175283,19.65,187.0,238
put,6200.0,2026-03-23,20,0.0547945205479452,0.30379419357299803,21.0,183.0,490
put,6225.0,2026-03-23,20,0.0547945205479452,0.29920134399414056,22.45,91.0,98
put,6250.0,2026-03-23,20,0.0547945205479452,0.29492892578124996,24.0,38.0,155
put,6275.0,2026-03-23,20,0.0547945205479452,0.29056877040863033,25.7,65.0,145
put,6300.0,2026-03-23,20,0.0547945205479452,0.2864146066284179,27.6,50.0,439
put,6325.0,2026-03-23,20,0.0547945205479452,0.28211167114257807,29.6,9.0,37
put,6350.0,2026-03-23,20,0.0547945205479452,0.27791554611206054,31.799999999999997,26.0,163
call,6375.0,2026-03-23,20,0.0547945205479452,0.27280390289306633,472.5,1.0,1
put,6375.0,2026-03-23,20,0.0547945205479452,0.27378427028656,34.150000000000006,10.0,80
put,6400.0,2026-03-23,20,0.0547945205479452,0.2694088562774658,36.7,60.0,208
put,6425.0,2026-03-23,20,0.0547945205479452,0.2652661364746094,39.5,10.0,111
put,6450.0,2026-03-23,20,0.0547945205479452,0.26128363235473634,42.55,11.0,59
put,6475.0,2026-03-23,20,0.0547945205479452,0.25695399425506593,45.75,80.0,221
put,6500.0,2026-03-23,20,0.0547945205479452,0.2527006493377686,49.2,110.0,711
put,6525.0,2026-03-23,20,0.0547945205479452,0.24846637771606445,53.0,117.0,260
put,6550.0,2026-03-23,20,0.0547945205479452,0.24419395950317385,57.1,109.0,613
put,6560.0,2026-03-23,20,0.0547945205479452,0.24242014301300047,58.75,16.0,51
put,6570.0,2026-03-23,20,0.0547945205479452,0.24073024902343748,60.55,12.0,20
put,6575.0,2026-03-23,20,0.0547945205479452,0.23984524810791014,61.45,13.0,86
put,6580.0,2026-03-23,20,0.0547945205479452,0.23892972991943356,62.35,18.0,46
put,6590.0,2026-03-23,20,0.0547945205479452,0.2370224003601074,64.15,10.0,11
call,6600.0,2026-03-23,20,0.0547945205479452,0.23432543636322017,279.79999999999995,3.0,6
put,6600.0,2026-03-23,20,0.0547945205479452,0.235183734664917,66.05000000000001,101.0,126
put,6610.0,2026-03-23,20,0.0547945205479452,0.23341754749298094,68.05000000000001,1.0,17
put,6620.0,2026-03-23,20,0.0547945205479452,0.23152929122924804,70.05000000000001,66.0,10
